AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
【解析】在IPV4中，A类地址空间可以分配给主机正常使用的有126个网段，0、127都不能分配给主机使用。    4    【考纲知识点】IPV4,"下面关于IPV4的叙述中,有错误的是一项(      )。",C,在IPV4中，A类地址空间的网络ID只有8位，最高位固定为“0”,在IPV4中，A类地址空间的每个网络都能够容纳(2的24次方-2)个主机,在IPV4中，A类地址空间可以分配给主机正常使用的有128个网段,在IPV4中，A类地址空间一般用于分配给Internet上的主机使用,,,
【解析】PC机所有硬件的驱动程序不包含在主板BIOS中。    2    【考纲知识点】,"下面关于PC机主板BIOS的叙述中,错误的一项是(      )。",D,主板BIOS包含POST(加电自检)程序,主板BIOS包含CMOSSETUP程序,主板BIOS包含系统自举装入程序,主板BIOS包含PC机所有硬件的驱动程序,,,
【解析】在主板的结构中，内存条插座属于北桥芯片(MCH)管理，与它直接相接。    2    【考纲知识点】计算机设备,Intel公司的PC芯片组主要由北桥芯片(MCH)和南桥芯片(ICH)组成，下述哪一个部件一般不与ICH连接(      )。,B,北桥芯片,内存条插座,SATA接口,USB2.0接口,,,
【解析】LineOut是用来连接声卡设备的    2    【考纲知识点】微机面板上的接口,现代主流微机面板上提供很多不同类型的接口，下面接口中不能用来连接显示设备的是(      )。,B,VGA接口,Line Out,DVI接口,HDMI接口,,,
【解析】BOOL布尔，逻辑学的创始人。COMBO是一种光驱，既具有DVD光驱的读取DVD的功能，又具有CD刻录机刻录CD的功能，因此取名为combo，俗称康宝。    3    【考纲知识点】光存储设备,以下不是光驱的是(      )。,C,CD-ROM,COMBO,BOOL,CR-RW,,,
【解析】删除分区的顺序为：逻辑分区、扩展分区和主分区    2    【考纲知识点】计算机使用及维护：硬盘的使用,对于一块已用硬盘，根据当前的分区情况(有主分区、扩展分区和逻辑分区)，则操作删除分区的顺序为(      )。,C,主分区、扩展分区和逻辑分区,逻辑分区、主分区和扩展分区,逻辑分区、扩展分区和主分区,主分区、逻辑分区和扩展分区,,,
【解析】面向对象的程序设计英文缩写是OOP    2    【考纲知识点】面向对象的程序设计,面向对象的程序设计英文简称是(      )。,A,00P,0,20,P2P,,,
【解析】程序设计风格指一个人编制程序时所表现出来的特点，习惯逻辑思路等。在程序设计中要使程序结构合理、清晰，形成良好的编程习惯，对程序的要求不仅是可以在机器上执行，给出正确的结果，而且要便于程序的调试和维护，这就要求编写的程序不仅自己看得懂，而且也要让别人能看懂。    2    【考纲知识点】程序设计,对建立良好的程序设计风格，下面描述正确的是(      )。,A,程序应简单、清晰、可读性好,程序的注释可有可无,充分考虑程序的执行效率,符号名的命名要符合语法,,,
【解析】并发用户数是指同一时刻与服务器有交互的在线用户数量。    3    【考纲知识点】程序设计---软件调试,软件性能测试是重要的非功能性测试，其相关术语“并发用户数”是指(      )。,A,同一时刻与服务器有交互的在线用户数量,系统使用用户数,单位时间内系统处理的客户请求的数量,单位时间内网络上的流量,,,
【解析】机器语言就是用二进制代码表示的指令，是用0、1描述的计算机能直接识别和执行的代码。使用机器语言编程难度大、直观性差、容易出错，修改、调试也不方便，机器语言的通用性和移植性也较差?    4    【考纲知识点】程序设计语言的特点,下列关于计算机语言的描述，正确的是(      )。,B,机器语言因为是面向机器的低级语言，所以执行速度慢,机器语言的语句全部由0和1组成，指令代码短，执行速度快,汇编语言已将机器语言符号化，所以它与机器无关,汇编语言比机器语言执行速度快,,,
【解析】软件设计阶段出现在1956年～1970年，软件开发技术没有重大突破，软件产品的质量不高，生产效率低下，开发出来的软件难以维护从而导致了“软件危机”的产生。    2    【考纲知识点】软件危机,开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称为(      )。,C,软件工程学,软件发展瓶颈,软件危机,软件饥饿,,,
【解析】数字签名技术是将摘要信息用发送者的私钥加密，与原文一起传送给接收者。接收者只有用发送者的公钥才能解密被加密的摘要信息，然后用HASH函数对收到的原文产生一个摘要信息，与解密的摘要信息对比。如果相同，则说明收到的信息是完整的，在传输过程中没有被修改，否则说明信息被修改过，因此数字签名能够验证信息的完整性。    4    【考纲知识点】数字签名技术,数字签名技术中，在接收端一般采用(      )进行签名验证。,A,发送者的公钥,发送者的私钥,接收者的公钥,接收者的私钥,,,
【解析】强制访问控制模式下，管理员管理访问控制。管理员制定策略，用户不能改变它，策略定义了哪个主体能访问哪个对象。强制访问控制是系统强制主体服从访问控制策略，是由系统对用户所创建的对象，按照规则控制用户权限及操作对象的访问。    3    【考纲知识点】访问控制的类型,张三住在某军事管制小区，张三更换了自己家门的门锁，要给自己的父母配一把钥匙，需要向小区管理机构申请。这种模式属于(      )。,A,强制访问控制,自主访问控制,基于角色的访问控制,自由访问控制,,,
"【解析】自由软件是被版权所有者明确放弃作品财产权的?可以被任何人自由使用的软件。（1）允许通过复制?分发自由软件牟取经济利益；（2）对自由软件的二次开发成果的产权归二次开发者所有；（3）基于自由软件而进行的应用开发,开发者拥有应用成果的所有权。    3    【考纲知识点】软件版权",在下列有关商品软件、共享软件、自由软件及其版权的叙述中，有错误的一项是(      )。,C,通常用户需要付费才能得到商品软件的合法使用权,共享软件是一种“买前免费试用”的具有版权的软件,自由软件允许用户随意拷贝，但不允许修改其源代码和自由传播,软件许可证确定了用户对软件的使用方式，扩大了版权法给予用户的权利,,,
【解析】对称密码体制中加密算法和解密算法都是不需要保密的，需要保密的是密钥。    4    【考纲知识点】加密技术,下列关于加密技术的叙述中，下列说法错误的是(      )。,A,对称密码体制中加密算法和解密算法是保密的,密码分析的目的就是千方百计地寻找密钥或明文,对称密码体制的加密密钥和解密密钥是相同的,所有的密钥都有生存周期,,,
【解析】木马的信息反馈机制收集的信息中最重要的是服务端IP。    3    【考纲知识点】木马,木马的信息反馈机制——收集的信息中，最重要的信息是(      )。,B,服务端系统口令,服务端IP,服务端硬盘分区情况,服务端系统目录,,,
【解析】子网屏蔽防火墙由两个包过滤防火墙和一个应用型防火墙共同组成。它是最安全的一种防火墙体系结构。但实现的代价也高，且不易配置，网络的访问速度也要减慢，其费用也明显高于其他几种防火墙。    2    【考纲知识点】防火墙,目前实现起来代价最大的防火墙类型是(      )。,D,由路由器实现的包过滤防火墙,由代理服务器实现的应用型防火墙,主机屏蔽防火墙,子网屏蔽防火墙,,,
【解析】进程在系统中是否存在的惟一标志是进程控制块。    2    【考纲知识点】进程,进程在系统中是否存在的唯一标志是(      )。,D,数据集合,目标程序,源程序,进程控制块,,,
【解析】双击标题栏，才能将还原窗口最大化。    2    【考纲知识点】windows的使用,下列不能将还原窗口最大化的操作是(      )。,D,拖动窗口到屏幕最顶端,单击右上角“最大化”按钮,右击系统控制图标选择“最大化”,单击标题栏,,,
【解析】WAV格式是Microsoft和IBM共同开发的用于PC的声音标准格式，几乎所有的播放器都支持播放，而幻灯片、各种程序设计语言、多媒体工具软件都能直接使用该格式文件。但是波形文件的数据量比较大，其数据量的大小直接与采样频率、量化位数和声道数成正比。    2    【考纲知识点】声音文件扩展名,"在计算机中,以. wav为扩展名的文件通常是(      )。",B,文本文件,音频文件,图像文件,视频文件,,,
